age,educ,paeduc,sex,race,yearsjob,realrinc,PASEI10
43,14,12,"male","white",1,"IAP",58.4
74,10,0,"female","white",.i,"IAP",24.6
42,16,12,"male","white",15,45400,77.4
63,16,16,"female","white",25,54480,67.7
71,18,12,"male","black",.i,"IAP",58.4
67,16,12,"female","white",.i,"IAP",58.4
59,13,"iap","female","black",2,8512.5,"IAP, DK, NA, uncodeable"
43,12,"iap","male","white",5,17025,"IAP, DK, NA, uncodeable"
62,8,12,"female","white",.75,908,46.6
55,12,6,"male","white",11,45400,28.7
59,19,12,"male","white",2,54480,52
34,14,"iap","female","other",5,8512.5,"IAP, DK, NA, uncodeable"
61,13,"dk","female","white",.i,"IAP",26.2
44,16,16,"male","black",15,45400,28.5
41,12,15,"female","black",.i,"IAP",32
75,12,12,"female","white",2,5107.5,41
55,16,14,"female","white",.i,30645,65.1
30,16,16,"female","white",.i,"IAP",85.2
40,20,15,"female","white",9,30645,39.7
30,18,16,"male","white",5,"IAP",92
34,15,"iap","female","white",2,17025,"IAP, DK, NA, uncodeable"
29,14,12,"female","other",.i,"IAP",35.3
40,14,16,"female","white",4,45400,59.1
37,12,18,"male","white",5,20430,52
56,16,16,"female","white",10,8512.5,57.4
82,8,8,"male","white",.i,"IAP",39.1
68,12,12,"female","white",27,17025,26.9
42,9,0,"female","black",.i,"IAP",20.7
40,12,12,"female","white",.i,"IAP",32
20,14,16,"male","white",3,6242.5,62
74,12,"dk","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
"89 OR OLDER",8,19,"male","white",.i,"IAP",72.6
60,16,12,"female","white",.i,"IAP",46
56,16,"iap","female","white",.25,54480,"IAP, DK, NA, uncodeable"
55,10,9,"female","white",8,"IAP",35.8
65,18,12,"male","white",8,45400,43
71,20,14,"female","white",15,"IAP",20.3
34,20,16,"male","white",.75,20430,81
45,19,12,"male","white",.25,20430,46
50,12,"na","female","black",.n,"IAP","IAP, DK, NA, uncodeable"
65,12,12,"female","white",6,6242.5,37.6
52,12,"iap","male","white",14,17025,"IAP, DK, NA, uncodeable"
62,12,12,"female","white",.i,"IAP",23.3
60,18,20,"male","other",.n,"IAP",92.8
62,16,"iap","female","white",.i,30645,"IAP, DK, NA, uncodeable"
46,12,11,"female","white",5,14755,32.6
40,18,16,"male","white",10,37455,57.5
53,18,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
75,17,19,"male","white",.i,"IAP",77.4
67,16,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
22,14,16,"male","white",.75,"IAP",59.1
42,12,3,"female","white",5,12485,13.2
59,18,18,"female","white",5,37455,92.8
33,18,16,"female","other",.i,24970,92.8
46,16,17,"male","white",10,151050.7214,82.7
55,14,7,"male","white",25,63560,28.5
43,16,8,"female","white",.i,"IAP",54.6
45,14,12,"female","black",.i,4086,"IAP, DK, NA, uncodeable"
23,11,"dk","male","white",.25,30645,22.1
28,9,"iap","female","black",.25,2951,"IAP, DK, NA, uncodeable"
27,13,12,"female","black",.i,1589,"IAP, DK, NA, uncodeable"
42,10,"dk","female","black",3,9647.5,39.1
41,16,12,"female","black",19,24970,85.2
64,13,8,"female","black",.i,"IAP",39.9
53,12,12,"male","black",.i,"IAP","IAP, DK, NA, uncodeable"
79,20,6,"male","black",.i,"IAP",26.6
34,14,"iap","male","white",1,24970,"IAP, DK, NA, uncodeable"
59,14,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
32,19,16,"female","black",1,63560,53.9
33,16,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
35,15,"iap","male","white",.i,"IAP",65.3
37,16,20,"male","black",4,30645,59.1
28,16,"iap","female","other",.i,"IAP","IAP, DK, NA, uncodeable"
42,20,12,"female","white",.25,14755,24.6
21,14,18,"male","white",.75,3405,59.4
33,14,"iap","female","black",7,17025,"IAP, DK, NA, uncodeable"
37,16,14,"female","white",2,63560,81
"89 OR OLDER",8,"dk","female","white",.i,"IAP",18.8
47,14,12,"female","other",.i,"IAP",24.1
63,.a,"na","female","other",.n,"IAP","IAP, DK, NA, uncodeable"
71,16,8,"female","black",.i,"IAP",20.7
42,12,14,"female","black",10,"IAP",58.4
37,12,"iap","female","other",.25,7377.5,"IAP, DK, NA, uncodeable"
40,13,14,"female","white",5,20430,60.3
70,12,"iap","male","white",9,9647.5,"IAP, DK, NA, uncodeable"
28,17,0,"male","black",2,20430,17.5
53,13,0,"female","other",12,227,26.8
46,16,"iap","male","white",2,151050.7214,"IAP, DK, NA, uncodeable"
55,18,18,"male","white",12,24970,75.5
28,18,17,"male","other",4,4086,27
42,16,16,"male","white",7,45400,91.1
77,19,14,"female","white",43,8512.5,75.6
29,16,16,"male","other",.25,"IAP",92.1
62,12,"dk","female","black",.i,"IAP",39.9
30,16,"iap","female","black",7,45400,"IAP, DK, NA, uncodeable"
22,14,10,"male","black",.25,"IAP",58.1
69,13,11,"female","black",.i,"IAP",39.1
45,16,16,"male","black",3,24970,69.3
32,12,14,"female","other",.i,"IAP",80.9
60,4,"dk","female","white",.i,"IAP",14
48,12,"dk","male","other",2,24970,38.2
81,12,6,"female","other",.i,"IAP",34.7
50,18,12,"male","other",7,54480,43
78,14,8,"female","white",.i,"IAP",21.6
56,18,10,"male","white",6,30645,34.6
60,14,12,"male","white",14,45400,31.2
23,12,14,"male","white",2,20430,73.5
67,12,"dk","female","white",16,"IAP",46.5
54,16,14,"female","white",.25,"IAP",81
62,14,14,"female","white",.i,"IAP",73.5
55,14,8,"female","white",31,45400,49.4
56,12,12,"female","white",27,6242.5,48.3
58,14,"iap","male","white",.i,"IAP","IAP, DK, NA, uncodeable"
74,12,12,"female","white",.i,"IAP",31.6
70,16,12,"male","white",9,63560,56.9
35,17,12,"male","white",.75,"IAP",73.4
65,8,"iap","male","black",.i,"IAP","IAP, DK, NA, uncodeable"
42,14,"dk","female","white",.i,"IAP",43
48,13,"iap","female","white",2,6242.5,"IAP, DK, NA, uncodeable"
32,13,"iap","male","white",1,20430,"IAP, DK, NA, uncodeable"
56,12,10,"female","white",.i,"IAP",25.1
61,12,12,"female","white",23,20430,48.3
76,16,8,"female","white",18,5107.5,57.8
59,16,16,"female","white",14,14755,62
69,16,10,"male","white",12,14755,38.3
48,18,14,"male","other",25,45400,81.6
68,20,"iap","female","white",37,37455,"IAP, DK, NA, uncodeable"
39,16,16,"female","white",8,"IAP",56.9
38,18,"iap","male","white",.75,20430,"IAP, DK, NA, uncodeable"
39,18,18,"female","white",10,72640,79.3
52,12,0,"female","white",.i,"IAP",41
41,20,16,"female","white",.i,"IAP",89.9
60,17,14,"male","white",8,63560,46
69,15,16,"male","white",14,72640,73.1
60,13,"iap","male","white",23,54480,"IAP, DK, NA, uncodeable"
22,12,4,"female","other",.75,"IAP","IAP, DK, NA, uncodeable"
33,16,13,"male","other",.i,4086,23.3
35,16,12,"female","other",1,20430,85.2
38,12,3,"female","white",1,4086,14
25,15,0,"female","white",3,5107.5,18.6
55,14,7,"male","white",2,20430,39.7
34,17,16,"male","white",8,4086,43
49,11,"iap","male","other",.i,"IAP","IAP, DK, NA, uncodeable"
18,12,16,"male","black",.i,"IAP",84.2
56,12,10,"male","other",.75,30645,20.9
19,12,"iap","male","black",3,"IAP","IAP, DK, NA, uncodeable"
34,12,"iap","male","black",.i,30645,"IAP, DK, NA, uncodeable"
26,17,11,"female","black",.75,6242.5,39
28,14,14,"male","white",.i,"IAP",52
59,19,6,"female","white",34,45400,23.7
39,16,12,"female","black",2,30645,42.8
77,13,6,"female","black",.i,"IAP",20
35,12,14,"female","black",.i,"IAP",67.8
46,16,12,"female","other",2,8512.5,40.1
57,8,0,"male","other",8,20430,12.6
35,11,"iap","female","other",.25,908,"IAP, DK, NA, uncodeable"
58,12,0,"female","white",7,12485,14
20,14,13,"female","other",2,2951,25
48,7,6,"female","other",.75,3405,20.5
51,2,"dk","female","white",.25,6242.5,32
18,11,"dk","female","other",.i,"IAP",23.3
18,12,12,"female","white",.i,"IAP",37.2
41,12,"iap","female","other",3,17025,"IAP, DK, NA, uncodeable"
51,15,14,"female","other",.i,"IAP",26.5
41,6,0,"female","white",.i,"IAP",39.9
71,13,12,"female","white",.i,"IAP",39.7
43,9,0,"male","white",.25,"IAP",14
53,16,16,"male","other",.n,"IAP",82.5
46,18,16,"male","white",3,24970,42.8
36,13,"iap","male","white",11,24970,"IAP, DK, NA, uncodeable"
19,12,12,"male","white",2,3405,38.4
65,14,12,"male","other",38,12485,82.5
